ISO,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ARG,Argentina,66.5,66.4,66.43,67.02,67.42,68.17,68.4,68.61,68.62,69.46,70.07,70.26,70.43,70.75,71.69,72.57,71.93,72.63,72.71,72.97,72.58,72.73
AUS,Australia,71.15,71.38,71.78,71.98,72.37,72.54,72.81,72.73,72.71,72.98,73.42,73.56,73.9,74.96,74.76,75.07,75.35,75.55,75.36,75.47,75.5,75.58
BRA,Brazil,67.39,67.59,67.8,68.3,68.53,69.05,69.32,69.42,70.06,69.94,70.29,70.18,70.58,71.15,71.73,72.45,71.42,71.98,72.39,72.68,72.55,72.76
CAN,Canada,74.95,75.06,75.22,75.3,75.46,75.91,75.77,75.73,75.93,76.2,76.54,76.71,76.85,76.86,77,77.19,77.39,77.48,77.6,77.68,77.79,77.68
CHN,China,63.42,63.53,63.55,63.51,63.63,63.92,64.13,64.64,64.51,64.64,65.32,66.12,67.06,68.11,68.97,69.47,69.93,70.56,71.48,71.98,72.29,72.36
DEU,Germany,75.43,76.04,76.18,76.46,77.17,77.45,77.87,77.93,78.16,78.65,79.04,79.23,79.53,79.92,80.35,81.64,81.94,81.86,81.87,81.94,82.28,82.16
FRA,France,74.43,74.73,74.92,75.17,75.81,76.31,76.77,76.51,77.25,77.71,78.09,77.94,78.89,79.08,79.32,79.52,79.61,80.48,80.75,81.12,81.15,81.22
GBR,United Kingdom,75.83,76.1,76.67,76.75,76.67,76.95,76.55,76.11,77.08,77.59,78.63,79.2,79.4,79.47,79.8,80.38,80.69,80.98,80.97,80.87,80.96,80.53
IDN,Indonesia,59.37,59.53,59.25,59.47,59.45,59.51,59.76,60.43,60.57,61.18,61.72,61.9,62.77,63.32,64.16,65.03,65.19,66.94,68.12,68.42,68.48,68.9
IND,India,51.6,51.71,51.8,52.18,52.14,52.23,52.75,53.06,53.15,53.03,53.63,54.16,54.42,55.14,55.88,56.41,57.23,59.07,59.71,60.39,60.12,59.98
ITA,Italy,71.61,71.69,71.98,72.23,72.94,73.87,74.2,74.39,74.44,75.4,75.69,75.71,76.56,77.34,77.15,77.1,77.25,77.34,78.07,77.94,78.47,78.31
JPN,Japan,75.76,75.94,76.12,76.3,76.65,77.12,77.3,77.26,77.13,77.46,77.72,77.97,78.02,78.01,78.02,78.36,78.34,78.61,79.15,79.32,79.46,79.56
KOR,"Korea, Rep.",73.11,73.56,73.35,73.51,73.94,74.32,74.76,74.97,75.45,75.64,76.12,76.06,76.5,76.38,76.39,76.85,77.01,76.8,77.41,77.41,77.67,77.88
MEX,Mexico,62.25,62.49,63.03,63.24,63.78,64.37,64.49,64.75,65.32,65.58,65.91,65.73,66.83,66.92,67.22,67.36,68.29,68.94,70.21,70.34,70.14,70.16
RUS,Russian Federation,66.82,67.42,67.91,67.45,67.4,67.6,67.52,67.64,68.33,68.52,68.9,69.28,69.08,69.58,70.71,71.25,71.63,72.79,73.11,73.7,74.07,74.06
SAU,Saudi Arabia,59.13,59.68,59.59,59.67,59.48,59.74,59.94,60.1,59.78,59.51,60.01,60.29,60.41,61.14,62.07,61.96,62.51,64.23,64.68,65.54,65.77,66.36
TUR,Turkey,64.92,65.18,65.35,65.25,65.31,65.41,65.76,66.77,66.88,67.1,68.37,68.2,68.74,69.07,68.86,69,68.55,69.16,70.16,70.4,70.56,70.43
USA,United States,71.28,71.34,71.39,71.57,71.76,71.93,71.79,72.07,72.01,72.71,73.12,73.45,73.55,73.69,73.99,73.96,74.21,74.22,74.11,74.4,74.54,74.5
ZAF,South Africa,57.51,57.55,58.02,57.74,57.94,57.97,58.1,58.12,58.5,59.13,59.1,59.73,59.97,60.4,60.62,61.93,61.73,62.62,62.29,63.39,63.81,63.71
